entry,exit,direction,pnl,r,reason,tag
2024-03-04 16:40:00+00:00,2024-03-04 20:55:00+00:00,1,-4.259502845592018,-0.03932986004699547,time,NY ORB
2024-03-21 14:30:00+00:00,2024-03-21 15:08:00+00:00,-1,323.7214330402,2.990238188207732,target,NY ORB
2024-03-26 14:00:00+00:00,2024-03-26 19:50:00+00:00,-1,162.6987623419846,1.4592258549417165,time,NY ORB
2024-03-28 14:05:00+00:00,2024-03-28 14:45:00+00:00,1,-89.93550736349286,-0.7950197388399654,fast-alpha stop confirmation,NY ORB
2024-04-01 13:55:00+00:00,2024-04-01 19:50:00+00:00,-1,12.496114832533507,0.1113494958163623,time,NY ORB
2024-04-02 14:10:00+00:00,2024-04-02 15:10:00+00:00,1,-94.3120978781693,-0.8394548394548259,fast-alpha stop confirmation,NY ORB
2024-04-04 14:40:00+00:00,2024-04-04 19:45:00+00:00,1,-99.27872939226954,-0.8911426639621357,fast-alpha stop confirmation,NY ORB
2024-04-08 14:15:00+00:00,2024-04-08 17:40:00+00:00,-1,-126.10054773366224,-1.1420773799967971,fast-alpha stop confirmation,NY ORB
2024-04-09 14:50:00+00:00,2024-04-09 19:55:00+00:00,-1,-29.55699439316105,-0.27078671027715645,time,NY ORB
2024-04-12 14:25:00+00:00,2024-04-12 15:45:00+00:00,1,-101.05172619204498,-0.9283001496144402,fast-alpha stop confirmation,NY ORB
2024-04-15 14:15:00+00:00,2024-04-15 17:00:00+00:00,-1,-116.82089287394119,-1.0832173074863487,fast-alpha stop confirmation,NY ORB
2024-04-16 14:05:00+00:00,2024-04-16 15:15:00+00:00,-1,-197.3085169962677,-1.8495706248148747,fast-alpha stop confirmation,NY ORB
2024-04-17 15:25:00+00:00,2024-04-17 16:44:00+00:00,-1,313.1625707555595,2.9909057839214257,target,NY ORB
2024-04-19 13:55:00+00:00,2024-04-19 14:30:00+00:00,-1,-146.48525485956463,-1.3584007615420637,fast-alpha stop confirmation,NY ORB
2024-04-23 14:05:00+00:00,2024-04-23 19:50:00+00:00,1,-30.919419228313892,-0.2906733584274431,time,NY ORB
2024-04-24 15:10:00+00:00,2024-04-24 18:40:00+00:00,1,-106.38580894413175,-1.0030482338174658,fast-alpha stop confirmation,NY ORB
2024-04-25 14:45:00+00:00,2024-04-25 19:55:00+00:00,1,-38.408618447855694,-0.3658010779029906,time,NY ORB
2024-04-26 15:00:00+00:00,2024-04-26 19:55:00+00:00,-1,-64.82837523508644,-0.6196878751500532,time,NY ORB
2024-05-02 13:55:00+00:00,2024-05-02 14:30:00+00:00,-1,-116.8604192928009,-1.1240223463687868,fast-alpha stop confirmation,NY ORB
2024-05-10 14:10:00+00:00,2024-05-10 14:35:00+00:00,1,-87.12301678956122,-0.8475193445608263,fast-alpha stop confirmation,NY ORB
2024-05-15 14:00:00+00:00,2024-05-15 14:50:00+00:00,-1,-98.39893427600809,-0.9653916211293436,fast-alpha stop confirmation,NY ORB
2024-05-17 15:00:00+00:00,2024-05-17 19:55:00+00:00,1,13.666186293216422,0.1353859131168442,time,NY ORB
2024-05-22 14:40:00+00:00,2024-05-22 19:55:00+00:00,-1,39.07143665977381,0.3865431188796588,time,NY ORB
2024-05-23 14:00:00+00:00,2024-05-23 19:50:00+00:00,-1,243.09757662098235,2.3957621326042613,time,NY ORB
2024-05-24 14:05:00+00:00,2024-05-24 19:50:00+00:00,-1,142.28224222978045,1.3694046066927388,time,NY ORB
2024-05-28 14:10:00+00:00,2024-05-28 19:55:00+00:00,-1,-69.55247637538078,-0.660369163952207,time,NY ORB
2024-05-31 14:00:00+00:00,2024-05-31 15:14:00+00:00,-1,312.8127405667876,2.9897582957804176,target,NY ORB
2024-06-04 14:30:00+00:00,2024-06-04 19:55:00+00:00,-1,-45.01494450601364,-0.4177479492915699,time,NY ORB
2024-06-07 14:00:00+00:00,2024-06-07 19:55:00+00:00,-1,117.61881881022562,1.0961058045554586,time,NY ORB
2024-06-20 14:40:00+00:00,2024-06-20 19:55:00+00:00,1,8.003769561923372,0.0737795179248591,time,NY ORB
2024-06-21 14:00:00+00:00,2024-06-21 19:55:00+00:00,-1,126.66474515992903,1.1667469879517944,time,NY ORB
2024-06-24 14:05:00+00:00,2024-06-24 14:50:00+00:00,-1,-78.86565911474169,-0.718077115673541,fast-alpha stop confirmation,NY ORB
2024-06-26 14:10:00+00:00,2024-06-26 19:55:00+00:00,1,40.775922653574455,0.37395277989333386,time,NY ORB
2024-06-27 14:10:00+00:00,2024-06-27 19:55:00+00:00,1,-19.77287676849346,-0.18065991506045573,time,NY ORB
2024-07-01 14:30:00+00:00,2024-07-01 19:55:00+00:00,-1,-76.59753585826142,-0.7011195001301846,time,NY ORB
2024-07-02 14:15:00+00:00,2024-07-02 19:55:00+00:00,-1,-57.75230681046256,-0.5323560958169687,time,NY ORB
2024-07-03 14:15:00+00:00,2024-07-03 19:55:00+00:00,1,-69.05475228282332,-0.639947926352977,time,NY ORB
2024-07-08 13:55:00+00:00,2024-07-08 14:15:00+00:00,-1,-133.23850659670262,-1.2427077600440197,fast-alpha stop confirmation,NY ORB
2024-07-10 14:00:00+00:00,2024-07-10 14:45:00+00:00,1,-129.78044976387653,-1.2256863657515316,fast-alpha stop confirmation,NY ORB
2024-07-15 14:15:00+00:00,2024-07-15 19:55:00+00:00,1,2.262352289762623,0.021631482929369557,time,NY ORB
2024-07-17 14:05:00+00:00,2024-07-17 14:20:00+00:00,1,-153.8280363915486,-1.4705087798288368,fast-alpha stop confirmation,NY ORB
2024-07-22 14:40:00+00:00,2024-07-22 19:50:00+00:00,-1,-103.60271500427855,-1.0051642222681265,stop,NY ORB
2024-07-23 14:00:00+00:00,2024-07-23 14:40:00+00:00,-1,-127.81077151066052,-1.2526242127360772,fast-alpha stop confirmation,NY ORB
2024-07-24 14:10:00+00:00,2024-07-24 17:15:00+00:00,1,-91.88182184808639,-0.9119213437116079,fast-alpha stop confirmation,NY ORB
2024-07-26 14:25:00+00:00,2024-07-26 19:55:00+00:00,1,-16.091825517373312,-0.1611801999512004,time,NY ORB
2024-07-29 14:55:00+00:00,2024-07-29 19:55:00+00:00,-1,-17.275108502735968,-0.1733116354759939,time,NY ORB
