time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.08.14 08:45:00,entry,254,1,2477.824,2468.356,2506.228,fallback_3R|risk=132.5600|volume=0.1400|PD=2024.08.14 00:00:00|PW=2024.08.11 00:00:00,0.1465071428571426,0.0,0.0,0.0,0.0,0.0,,12564.5,12563.03,PD.VAL=2460.834;PD.POC=2464.441;PD.VAH=2469.203
2024.08.19 00:15:00,entry,256,1,2506.637,2504.404,2513.336,fallback_3R|risk=125.0500|volume=0.5600|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.12821785714285658,0.0,0.0,0.0,0.0,0.0,,12428.51,12422.24,PD.VAL=2503.502;PD.POC=2504.735;PD.VAH=2505.474
2024.08.19 03:00:00,entry,258,1,2503.576,2496.826,2504.735,aoi_target|risk=128.2500|volume=0.1900|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.1856107142857143,0.0,0.0,0.0,0.0,0.0,,12302.3,12300.18,PD.VAL=2503.502;PD.POC=2504.735;PD.VAH=2505.474
2024.08.19 06:30:00,entry,260,1,2504.375,2499.326,2504.735,aoi_target|risk=126.2300|volume=0.2500|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.14138214285714443,0.0,0.0,0.0,0.0,0.0,,12323.15,12320.35,PD.VAL=2503.502;PD.POC=2504.735;PD.VAH=2505.474
2024.08.19 07:15:00,entry,262,1,2504.432,2500.887,2504.735,aoi_target|risk=124.0700|volume=0.3500|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.137739285714289,0.0,0.0,0.0,0.0,0.0,,12330.99,12327.07,PD.VAL=2503.502;PD.POC=2504.735;PD.VAH=2505.474
2024.08.19 14:45:00,entry,264,1,2502.696,2493.267,2503.502,aoi_target|risk=132.0000|volume=0.1400|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.24945000000000328,0.0,0.0,0.0,0.0,0.0,,12340.93,12339.37,PD.VAL=2503.502;PD.POC=2504.735;PD.VAH=2505.474
2024.08.19 15:15:00,entry,266,1,2503.877,2499.367,2504.735,aoi_target|risk=126.2800|volume=0.2800|PD=2024.08.19 00:00:00|PW=2024.08.18 00:00:00,0.24093214285714534,0.0,0.0,0.0,0.0,0.0,,12350.69,12347.55,PD.VAL=2503.502;PD.POC=2504.735;PD.VAH=2505.474
2024.08.20 00:15:00,entry,268,1,2504.278,2502.698,2506.149,aoi_target|risk=124.8200|volume=0.7900|PD=2024.08.20 00:00:00|PW=2024.08.18 00:00:00,0.06814285714285688,0.0,0.0,0.0,0.0,0.0,,12371.09,12362.24,PD.VAL=2497.266;PD.POC=2503.587;PD.VAH=2506.149
2024.08.20 00:45:00,entry,270,1,2506.251,2503.244,2515.272,fallback_3R|risk=126.2900|volume=0.4200|PD=2024.08.20 00:00:00|PW=2024.08.18 00:00:00,0.06887857142857164,0.0,0.0,0.0,0.0,0.0,,12518.96,12514.26,PD.VAL=2497.266;PD.POC=2503.587;PD.VAH=2506.149
2024.08.20 01:45:00,entry,272,1,2505.029,2502.607,2506.149,aoi_target|risk=125.9500|volume=0.5200|PD=2024.08.20 00:00:00|PW=2024.08.18 00:00:00,0.10300714285714646,0.0,0.0,0.0,0.0,0.0,,12388.84,12383.01,PD.VAL=2497.266;PD.POC=2503.587;PD.VAH=2506.149
2024.08.21 13:00:00,entry,274,1,2510.674,2506.774,2523.367,aoi_target|risk=124.8000|volume=0.3200|PD=2024.08.21 00:00:00|PW=2024.08.18 00:00:00,0.1439785714285725,0.0,0.0,0.0,0.0,0.0,,12260.35,12256.76,PD.VAL=2506.967;PD.POC=2523.367;PD.VAH=2530.626
2024.08.25 23:15:00,entry,276,1,2515.075,2510.839,2517.885,aoi_target|risk=122.8500|volume=0.2900|PD=2024.08.25 00:00:00|PW=2024.08.18 00:00:00,0.10855714285714353,0.0,0.0,0.0,0.0,0.0,,12133.66,12130.41,PD.VAL=2495.944;PD.POC=2510.655;PD.VAH=2517.885
2024.08.26 02:00:00,entry,278,1,2513.513,2510.28,2514.385,aoi_target|risk=122.8500|volume=0.3800|PD=2024.08.26 00:00:00|PW=2024.08.25 00:00:00,0.12358214285714308,0.0,0.0,0.0,0.0,0.0,,12008.63,12004.38,PD.VAL=2513.027;PD.POC=2514.385;PD.VAH=2516.006
2024.08.26 07:00:00,entry,280,1,2515.208,2512.648,2516.006,aoi_target|risk=122.8800|volume=0.4800|PD=2024.08.26 00:00:00|PW=2024.08.25 00:00:00,0.09229285714285912,0.0,0.0,0.0,0.0,0.0,,12039.62,12034.25,PD.VAL=2513.027;PD.POC=2514.385;PD.VAH=2516.006
2024.08.26 07:15:00,entry,282,1,2517.704,2513.214,2531.174,fallback_3R|risk=121.2300|volume=0.2700|PD=2024.08.26 00:00:00|PW=2024.08.25 00:00:00,0.09708928571428715,0.0,0.0,0.0,0.0,0.0,,12076.49,12073.46,PD.VAL=2513.027;PD.POC=2514.385;PD.VAH=2516.006
2024.08.26 14:30:00,entry,284,1,2517.256,2510.183,2538.475,fallback_3R|risk=120.2400|volume=0.1700|PD=2024.08.26 00:00:00|PW=2024.08.25 00:00:00,0.19734285714285504,0.0,0.0,0.0,0.0,0.0,,11954.24,11952.34,PD.VAL=2513.027;PD.POC=2514.385;PD.VAH=2516.006
2024.08.27 01:30:00,entry,286,1,2512.597,2509.397,2514.695,aoi_target|risk=118.4000|volume=0.3700|PD=2024.08.27 00:00:00|PW=2024.08.25 00:00:00,0.07897142857142886,0.0,0.0,0.0,0.0,0.0,,11822.58,11818.47,PD.VAL=2514.695;PD.POC=2525.168;PD.VAH=2526.746
2024.09.11 13:00:00,entry,288,1,2508.244,2501.718,2512.424,aoi_target|risk=117.4700|volume=0.1800|PD=2024.09.11 00:00:00|PW=2024.09.08 00:00:00,0.20033571428571612,0.0,0.0,0.0,0.0,0.0,,11701.52,11699.51,PD.VAL=2500.664;PD.POC=2505.221;PD.VAH=2512.424
2024.09.11 14:00:00,entry,290,1,2509.778,2502.587,2512.424,aoi_target|risk=122.2500|volume=0.1700|PD=2024.09.11 00:00:00|PW=2024.09.08 00:00:00,0.25003214285714614,0.0,0.0,0.0,0.0,0.0,,11775.84,11773.93,PD.VAL=2500.664;PD.POC=2505.221;PD.VAH=2512.424
2024.09.11 14:30:00,entry,292,1,2506.939,2500.189,2512.424,aoi_target|risk=121.5000|volume=0.1800|PD=2024.09.11 00:00:00|PW=2024.09.08 00:00:00,0.2827500000000019,0.0,0.0,0.0,0.0,0.0,,11652.41,11650.4,PD.VAL=2500.664;PD.POC=2505.221;PD.VAH=2512.424
2024.09.12 01:15:00,entry,294,1,2513.979,2511.184,2519.164,aoi_target|risk=120.1900|volume=0.4300|PD=2024.09.12 00:00:00|PW=2024.09.08 00:00:00,0.0591071428571435,0.0,0.0,0.0,0.0,0.0,,11748.9,11744.08,PD.VAL=2508.804;PD.POC=2519.164;PD.VAH=2524.675
2024.09.12 06:00:00,entry,296,1,2519.551,2517.453,2524.675,aoi_target|risk=117.4900|volume=0.5600|PD=2024.09.12 00:00:00|PW=2024.09.08 00:00:00,0.07219285714285693,0.0,0.0,0.0,0.0,0.0,,11625.33,11619.11,PD.VAL=2508.804;PD.POC=2519.164;PD.VAH=2524.675
2024.09.15 23:45:00,entry,298,1,2580.29,2578.039,2587.043,fallback_3R|risk=117.0500|volume=0.5200|PD=2024.09.15 00:00:00|PW=2024.09.08 00:00:00,0.08912857142856866,0.0,0.0,0.0,0.0,0.0,,11504.87,11499.05,PD.VAL=2560.013;PD.POC=2567.119;PD.VAH=2578.351
