time,event,position_id,dir,entry,sl,tp,note,buffer,broken,previous,close1,close2,old_sl,closed_bar,balance,equity,ladder
2024.10.07 01:00:00,entry,286,1,2649.435,2647.541,2663.366,aoi_target|risk=145.8400|volume=0.7700|PD=2024.10.07 00:00:00|PW=2024.10.06 00:00:00,0.09170714285714245,0.0,0.0,0.0,0.0,0.0,,14507.35,14498.72,PW.VAL=2644.413;PW.POC=2649.341;PW.VAH=2663.366
2024.10.15 00:30:00,entry,288,1,2649.469,2647.79,2660.561,aoi_target|risk=144.3900|volume=0.8600|PD=2024.10.15 00:00:00|PW=2024.10.13 00:00:00,0.08139285714285864,0.0,0.0,0.0,0.0,0.0,,14355.78,14346.15,PW.VAL=2618.018;PW.POC=2643.452;PW.VAH=2660.561
2024.10.15 01:30:00,entry,290,1,2650.218,2647.103,2660.561,aoi_target|risk=143.2900|volume=0.4600|PD=2024.10.15 00:00:00|PW=2024.10.13 00:00:00,0.07742142857142979,0.0,0.0,0.0,0.0,0.0,,14208.86,14203.71,PW.VAL=2618.018;PW.POC=2643.452;PW.VAH=2660.561
2024.10.16 01:00:00,entry,292,1,2660.303,2655.155,2660.561,aoi_target|risk=144.1400|volume=0.2800|PD=2024.10.16 00:00:00|PW=2024.10.13 00:00:00,0.062399999999999116,0.0,0.0,0.0,0.0,0.0,,14063.38,14060.25,PW.VAL=2618.018;PW.POC=2643.452;PW.VAH=2660.561
2024.10.16 01:15:00,entry,294,1,2663.943,2655.124,2690.4,fallback_3R|risk=141.1100|volume=0.1600|PD=2024.10.16 00:00:00|PW=2024.10.13 00:00:00,0.07558571428571506,0.0,0.0,0.0,0.0,0.0,,14069.87,14068.09,PW.VAL=2618.018;PW.POC=2643.452;PW.VAH=2660.561
2024.10.21 00:30:00,entry,296,1,2723.164,2721.59,2727.886,fallback_3R|risk=144.8100|volume=0.9200|PD=2024.10.21 00:00:00|PW=2024.10.20 00:00:00,0.09553928571428483,0.0,0.0,0.0,0.0,0.0,,14462.52,14452.21,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.21 01:15:00,entry,298,1,2728.335,2720.756,2751.072,fallback_3R|risk=144.0100|volume=0.1900|PD=2024.10.21 00:00:00|PW=2024.10.20 00:00:00,0.12829285714285563,0.0,0.0,0.0,0.0,0.0,,14315.74,14313.61,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.22 01:30:00,entry,300,1,2728.478,2723.743,2742.683,fallback_3R|risk=142.0500|volume=0.3000|PD=2024.10.22 00:00:00|PW=2024.10.20 00:00:00,0.08232142857142923,0.0,0.0,0.0,0.0,0.0,,14169.99,14166.63,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.23 03:45:00,entry,302,1,2743.929,2738.321,2760.753,fallback_3R|risk=151.4100|volume=0.2700|PD=2024.10.23 00:00:00|PW=2024.10.20 00:00:00,0.12018571428571607,0.0,0.0,0.0,0.0,0.0,,14594.8,14591.78,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.23 13:30:00,entry,304,1,2739.386,2731.167,2764.043,fallback_3R|risk=147.9400|volume=0.1800|PD=2024.10.23 00:00:00|PW=2024.10.20 00:00:00,0.18875000000000455,0.0,0.0,0.0,0.0,0.0,,14442.32,14440.3,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.25 03:00:00,entry,306,1,2728.517,2725.905,2736.353,fallback_3R|risk=143.6600|volume=0.5500|PD=2024.10.25 00:00:00|PW=2024.10.20 00:00:00,0.10604999999999823,0.0,0.0,0.0,0.0,0.0,,14291.13,14284.97,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.25 05:45:00,entry,308,1,2728.546,2726.493,2734.705,fallback_3R|risk=141.6500|volume=0.6900|PD=2024.10.25 00:00:00|PW=2024.10.20 00:00:00,0.11950357142856904,0.0,0.0,0.0,0.0,0.0,,14143.06,14135.34,PW.VAL=2643.290;PW.POC=2647.920;PW.VAH=2686.942
2024.10.28 02:00:00,entry,310,1,2732.396,2725.746,2737.089,aoi_target|risk=146.3000|volume=0.2200|PD=2024.10.28 00:00:00|PW=2024.10.27 00:00:00,0.17742500000000033,0.0,0.0,0.0,0.0,0.0,,13999.71,13997.27,PW.VAL=2721.104;PW.POC=2737.089;PW.VAH=2740.598
2024.10.28 05:45:00,entry,312,1,2736.251,2730.8,2737.089,aoi_target|risk=141.7300|volume=0.2600|PD=2024.10.28 00:00:00|PW=2024.10.27 00:00:00,0.13327499999999515,0.0,0.0,0.0,0.0,0.0,,14101.57,14098.65,PW.VAL=2721.104;PW.POC=2737.089;PW.VAH=2740.598
2024.10.28 06:45:00,entry,314,1,2744.466,2740.233,2757.165,fallback_3R|risk=143.9200|volume=0.3400|PD=2024.10.28 00:00:00|PW=2024.10.27 00:00:00,0.14504642857142633,0.0,0.0,0.0,0.0,0.0,,14121.59,14117.79,PW.VAL=2721.104;PW.POC=2737.089;PW.VAH=2740.598
2024.10.28 07:45:00,entry,316,1,2739.853,2735.381,2740.598,aoi_target|risk=143.1100|volume=0.3200|PD=2024.10.28 00:00:00|PW=2024.10.27 00:00:00,0.18263928571428617,0.0,0.0,0.0,0.0,0.0,,13974.96,13971.37,PW.VAL=2721.104;PW.POC=2737.089;PW.VAH=2740.598
