bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
NewsPulse,XAGUSD,2026-06-12 14:00:00,2026-06-12 14:00:00,-1.1389,strategy_suite,2026-06-12 14:00:00+00:00,2026-06-12 14:00:00+00:00,61.26,3.06,-3.49,57.77
NewsPulse,US30,2026-06-12 18:00:00,2026-06-12 18:01:00,0.4023,strategy_suite,2026-06-12 18:00:00+00:00,2026-06-12 18:01:00+00:00,57.77,2.89,1.16,58.93
NewsPulse,BTCUSD,2026-06-14 18:00:00,2026-06-14 18:09:00,-1.1551,strategy_suite,2026-06-14 18:00:00+00:00,2026-06-14 18:09:00+00:00,58.93,2.95,-3.4,55.53
NewsPulse,BTCUSD,2026-06-15 12:30:00,2026-06-15 12:31:00,-1.1731,strategy_suite,2026-06-15 12:30:00+00:00,2026-06-15 12:31:00+00:00,55.53,2.78,-3.26,52.27
NewsPulse,BTCUSD,2026-06-15 14:00:00,2026-06-15 14:15:00,-1.1022,strategy_suite,2026-06-15 14:00:00+00:00,2026-06-15 14:15:00+00:00,52.27,2.61,-2.88,49.39
NewsPulse,XAGUSD,2026-06-15 14:00:00,2026-06-15 14:05:00,-1.1471,strategy_suite,2026-06-15 14:00:00+00:00,2026-06-15 14:05:00+00:00,49.39,2.47,-2.83,46.56
NewsPulse,US30,2026-06-15 18:00:00,2026-06-15 18:01:00,0.36,strategy_suite,2026-06-15 18:00:00+00:00,2026-06-15 18:01:00+00:00,46.56,2.33,0.84,47.39
Grid,AUDUSD,2026-06-16 01:45:00,2026-06-16 02:15:00,-1.17,strategy_suite,2026-06-16 01:45:00+00:00,2026-06-16 02:15:00+00:00,47.39,2.37,-2.77,44.62
NewsPulse,XAGUSD,2026-06-16 12:30:00,2026-06-16 12:51:00,1.35,strategy_suite,2026-06-16 12:30:00+00:00,2026-06-16 12:51:00+00:00,44.62,2.23,3.01,47.63
NewsPulse,BTCUSD,2026-06-16 14:00:00,2026-06-16 14:00:00,-1.1263,strategy_suite,2026-06-16 14:00:00+00:00,2026-06-16 14:00:00+00:00,47.63,2.38,-2.68,44.95
NewsPulse,US30,2026-06-16 14:00:00,2026-06-16 14:13:00,1.4576,strategy_suite,2026-06-16 14:00:00+00:00,2026-06-16 14:13:00+00:00,44.95,2.25,3.28,48.23
NewsPulse,US30,2026-06-16 18:00:00,2026-06-16 18:22:00,0.4253,strategy_suite,2026-06-16 18:00:00+00:00,2026-06-16 18:22:00+00:00,48.23,2.41,1.03,49.25
NewsPulse,BTCUSD,2026-06-17 12:30:00,2026-06-17 12:31:00,0.3512,strategy_suite,2026-06-17 12:30:00+00:00,2026-06-17 12:31:00+00:00,49.25,2.46,0.86,50.12
NewsPulse,BTCUSD,2026-06-17 14:00:00,2026-06-17 14:00:00,-1.1363,strategy_suite,2026-06-17 14:00:00+00:00,2026-06-17 14:00:00+00:00,50.12,2.51,-2.85,47.27
NewsPulse,US30,2026-06-17 14:00:00,2026-06-17 14:01:00,0.4595,strategy_suite,2026-06-17 14:00:00+00:00,2026-06-17 14:01:00+00:00,47.27,2.36,1.09,48.36
NewsPulse,BTCUSD,2026-06-18 12:30:00,2026-06-18 12:49:00,1.3681,strategy_suite,2026-06-18 12:30:00+00:00,2026-06-18 12:49:00+00:00,48.36,2.42,3.31,51.66
NewsPulse,EURUSD,2026-06-18 12:30:00,2026-06-18 12:51:00,0.3491,strategy_suite,2026-06-18 12:30:00+00:00,2026-06-18 12:51:00+00:00,51.66,2.58,0.9,52.57
NewsPulse,US30,2026-06-18 12:30:00,2026-06-18 12:39:00,-1.1106,strategy_suite,2026-06-18 12:30:00+00:00,2026-06-18 12:39:00+00:00,52.57,2.63,-2.92,49.65
NewsPulse,BTCUSD,2026-06-18 14:00:00,2026-06-18 14:05:00,-1.0793,strategy_suite,2026-06-18 14:00:00+00:00,2026-06-18 14:05:00+00:00,49.65,2.48,-2.68,46.97
NewsPulse,US30,2026-06-18 14:00:00,2026-06-18 14:07:00,0.4553,strategy_suite,2026-06-18 14:00:00+00:00,2026-06-18 14:07:00+00:00,46.97,2.35,1.07,48.04
NewsPulse,XAGUSD,2026-06-18 14:00:00,2026-06-18 14:01:00,-1.15,strategy_suite,2026-06-18 14:00:00+00:00,2026-06-18 14:01:00+00:00,48.04,2.4,-2.76,45.27
